# replay-league :: candidate=main.py :: seeds=[101, 202, 7, 42, 303, 404, 505, 777, 1234, 2026, 5555, 9001] :: opponents=5
# candidate sha256=7c5a4a2a3ba51cc4

== vs kaitofukami_v17_market_ranker.py ==
  seed  1234 seat A: cand=   63041.0  opp=   62441.0  diff=     +600.0  WIN  ['DONE', 'DONE']
  seed  1234 seat B: cand=   62441.0  opp=   63041.0  diff=     -600.0  LOSE  ['DONE', 'DONE']
  seed  2026 seat A: cand=   76010.0  opp=   73460.0  diff=    +2550.0  WIN  ['DONE', 'DONE']
  seed  2026 seat B: cand=   73460.0  opp=   76010.0  diff=    -2550.0  LOSE  ['DONE', 'DONE']
  seed  5555 seat A: cand=   85103.0  opp=   85469.0  diff=     -366.0  LOSE  ['DONE', 'DONE']
  seed  5555 seat B: cand=   85469.0  opp=   85103.0  diff=     +366.0  WIN  ['DONE', 'DONE']
  seed  9001 seat A: cand=  117532.0  opp=  114988.0  diff=    +2544.0  WIN  ['DONE', 'DONE']
  seed  9001 seat B: cand=  114988.0  opp=  117532.0  diff=    -2544.0  LOSE  ['DONE', 'DONE']
  -> win_rate=38% (9/24)  diff_min=-2550.0  diff_mean=-9.5  cand_min_money=36460.0  sign=MIXED  all_done=True

== vs soil_remembers_rain.py ==
  seed   101 seat A: cand=   83428.0  opp=   86796.0  diff=    -3368.0  LOSE  ['DONE', 'DONE']
  seed   101 seat B: cand=   83205.0  opp=   87019.0  diff=    -3814.0  LOSE  ['DONE', 'DONE']
  seed   202 seat A: cand=   77058.0  opp=   78193.0  diff=    -1135.0  LOSE  ['DONE', 'DONE']
  seed   202 seat B: cand=   77058.0  opp=   78193.0  diff=    -1135.0  LOSE  ['DONE', 'DONE']
  seed     7 seat A: cand=   26927.0  opp=   30348.0  diff=    -3421.0  LOSE  ['DONE', 'DONE']
  seed     7 seat B: cand=   28609.0  opp=   28591.0  diff=      +18.0  WIN  ['DONE', 'DONE']
  seed    42 seat A: cand=   68624.0  opp=   69897.0  diff=    -1273.0  LOSE  ['DONE', 'DONE']
  seed    42 seat B: cand=   68673.0  opp=   69848.0  diff=    -1175.0  LOSE  ['DONE', 'DONE']
  seed   303 seat A: cand=   55121.0  opp=   56182.0  diff=    -1061.0  LOSE  ['DONE', 'DONE']
  seed   303 seat B: cand=   55121.0  opp=   56182.0  diff=    -1061.0  LOSE  ['DONE', 'DONE']
  seed   404 seat A: cand=   77351.0  opp=   79171.0  diff=    -1820.0  LOSE  ['DONE', 'DONE']
  seed   404 seat B: cand=   77351.0  opp=   79171.0  diff=    -1820.0  LOSE  ['DONE', 'DONE']
  seed   505 seat A: cand=   79316.0  opp=   80772.0  diff=    -1456.0  LOSE  ['DONE', 'DONE']
  seed   505 seat B: cand=   79036.0  opp=   81052.0  diff=    -2016.0  LOSE  ['DONE', 'DONE']
  seed   777 seat A: cand=  113437.0  opp=  116282.0  diff=    -2845.0  LOSE  ['DONE', 'DONE']
  seed   777 seat B: cand=  113287.0  opp=  116507.0  diff=    -3220.0  LOSE  ['DONE', 'DONE']
  seed  1234 seat A: cand=   45119.0  opp=   48916.0  diff=    -3797.0  LOSE  ['DONE', 'DONE']
  seed  1234 seat B: cand=   45068.0  opp=   48953.0  diff=    -3885.0  LOSE  ['DONE', 'DONE']
  seed  2026 seat A: cand=   74786.0  opp=   74686.0  diff=     +100.0  WIN  ['DONE', 'DONE']
  seed  2026 seat B: cand=   72183.0  opp=   77163.0  diff=    -4980.0  LOSE  ['DONE', 'DONE']
  seed  5555 seat A: cand=   96347.0  opp=   98719.0  diff=    -2372.0  LOSE  ['DONE', 'DONE']
  seed  5555 seat B: cand=   96732.0  opp=   98334.0  diff=    -1602.0  LOSE  ['DONE', 'DONE']
  seed  9001 seat A: cand=  116954.0  opp=  115915.0  diff=    +1039.0  WIN  ['DONE', 'DONE']
  seed  9001 seat B: cand=  114343.0  opp=  117678.0  diff=    -3335.0  LOSE  ['DONE', 'DONE']
  -> win_rate=12% (3/24)  diff_min=-4980.0  diff_mean=-2059.8  cand_min_money=26927.0  sign=MIXED  all_done=True

#### FIELD SUMMARY (excl. self-mirror) ####
  opponents=5  games=120  field_win_rate=39/120=32.5%  field_diff_min=-11728.0  field_diff_mean=+643.0
  ALL-WIN vs: []
  ALL-LOSE vs: []
  MIXED vs: ['kaitofukami_v17_market_ranker.py', 'moon_counts_melons.py', 'pilkwang_economic_control.py', 'roman_hamburger_anchor.py', 'soil_remembers_rain.py']

# wrote results/baseline/moon198_league.json
